Species	PUL ID	Name	Modularity	Overlap IDs	Overlap Names	Length	Postion_GH154	Count_GH154	Postion_unk	Count_unk	Postion_GH	Count_GH
Bacteroides ovatus BFG-258	#66947	Predicted PUL 42	GH35|CBM32 GH43_19 GH51_2 GH97 unk SusC SusD unk HTCS unk GH127 GH43_34 GH154 unk Pept_SC HTCS unk SusC SusD CBM32 unk GH16_3|GH43_24 GH43_24 PL42 GH105			25	12	1	4, 7, 9, 13, 16, 20	6	0, 1, 2, 3, 10, 11, 12, 21, 22, 24	10
Bacteroides ovatus BFG-299	#67690	Predicted PUL 17	GH154 unk SusC SusD GH30_6 unk GH130_1 SusC SusD GH30_6 unk GH130_1			12	0	1	1, 5, 10	3	0, 4, 6, 9, 11	5
Bacteroides ovatus C1266	#53281	Predicted PUL 50	GH28 GH154 GH88 GH2 unk SusC SusD unk unk SusC SusD PL11_1 unk unk GH106 unk HTCS CE12|CE12 GH2			19	1	1	4, 7, 8, 12, 13, 15	6	0, 1, 2, 3, 14, 18	6
Bacteroides ovatus C145	#53087	Predicted PUL 75	HTCS GH2 CE20|CE6 CBM|CBM|CBM96 SusC SusD unk GH50 GH88|GH154 Sulf_1 GH43_28 Sulf_1|GH154 GH154 GH105			14	8, 11, 12	3	6	1	1, 7, 8, 10, 11, 12, 13	7
Bacteroides ovatus CP926	#75518	Predicted PUL 79	GH154 unk SusC SusD GH30_6 unk GH130_1 SusC SusD GH30_6 unk GH130_1			12	0	1	1, 5, 10	3	0, 4, 6, 9, 11	5
Bacteroides ovatus FDAARGOS_1235	#49333	Predicted PUL 45	GH2 CE12|CE12 HTCS unk GH106 unk unk PL11_1 SusD SusC unk unk SusD SusC unk GH2 GH88 GH154 Est GH28 GH95 GH2 GH105 PL11_1			24	17	1	3, 5, 6, 10, 11, 14	6	0, 4, 15, 16, 17, 19, 20, 21, 22	9
Bacteroides ovatus H-2495	#80420	Predicted PUL 35	HTCS GH2 Est CBM|CBM|CBM96 SusC SusD unk GH50 GH88|GH154 GH43_28 Sulf_1 GH154 GH154 GH105			14	8, 11, 12	3	6	1	1, 7, 8, 9, 11, 12, 13	7
Bacteroides ovatus H-2495	#80473	Predicted PUL 88	GH43_19 GH154 unk HTCS SusC SusD GH16_3|GH43_24 GH43_24 PL42 GH105			10	1	1	2	1	0, 1, 6, 7, 9	5
Bacteroides ovatus NLAE-zl-C11	#4235	Predicted PUL 44	GH35|CBM32 GH43_19 GH51_2 GH97 unk GH31_4 HTCS unk HTCS SusC SusD SusC SusD unk GH16_3 GH16_3|GH43_24 GH154 GH43_24 PL42 GH105			20	16	1	4, 7, 13	3	0, 1, 2, 3, 5, 14, 15, 16, 17, 19	10
Bacteroides ovatus NLAE-zl-C34	#4350	Predicted PUL 62	GH35|CBM32 GH43_19 GH51_2 GH97 unk GH31_4 HTCS unk HTCS SusC SusD SusC SusD unk GH16_3 GH16_3|GH43_24 GH154 GH43_24 PL42 GH105			20	16	1	4, 7, 13	3	0, 1, 2, 3, 5, 14, 15, 16, 17, 19	10
Bacteroides ovatus NLAE-zl-C500	#4401	Predicted PUL 15	GH35|CBM32 GH43_19 GH51_2 GH97 unk GH31_4 HTCS unk HTCS SusC SusD SusC SusD unk GH16_3 GH16_3|GH43_24 GH154 GH43_24 PL42 GH105			20	16	1	4, 7, 13	3	0, 1, 2, 3, 5, 14, 15, 16, 17, 19	10
Bacteroides ovatus NLAE-zl-C57	#4496	Predicted PUL 15	GH105 PL42 GH43_24 GH154 GH16_3|GH43_24 GH16_3 unk SusD SusC SusD SusC HTCS unk HTCS GH31_4 unk GH97 GH51_2 GH43_19 GH35|CBM32			20	3	1	6, 12, 15	3	0, 2, 3, 4, 5, 14, 16, 17, 18, 19	10
Bacteroides ovatus NLAE-zl-H304	#13259	Predicted PUL 91	GH154 unk unk SusC SusD GH30_6 unk GH130_1 SusC SusC SusD GH30_6 unk GH130_1			14	0	1	1, 2, 6, 12	4	0, 5, 7, 11, 13	5
Bacteroides ovatus NLAE-zl-H361	#13886	Predicted PUL 88	GH154 unk unk SusC SusD GH30_6 unk GH130_1 SusC SusC SusD GH30_6 unk GH130_1			14	0	1	1, 2, 6, 12	4	0, 5, 7, 11, 13	5
Bacteroides ovatus NLAE-zl-H59	#13731	Predicted PUL 57	unk unk PL11_1 SusD SusC unk unk SusD SusC unk GH2 GH88 GH154 GH28			14	12	1	0, 1, 5, 6, 9	5	10, 11, 12, 13	4
Bacteroides ovatus NLAE-zl-H73	#14118	Predicted PUL 44	GH28 GH154 GH88 GH2 unk SusC SusD unk unk SusC SusD PL11_1 unk unk			14	1	1	4, 7, 8, 12, 13	5	0, 1, 2, 3	4
Bacteroides ovatus SD CMC 3f	#2186	Predicted PUL 78	GH130_1 unk GH30_6 SusD SusC GH130_1 unk GH30_6 SusD SusC unk GH154			12	11	1	1, 6, 10	3	0, 2, 5, 7, 11	5
Bacteroides ovatus V975	#23955	Predicted PUL 20	GH2 CE12|CE12 HTCS unk GH106 unk unk PL11_1 SusD SusC unk unk SusD SusC unk GH2 GH88 GH154 Est GH28 GH95 GH2 GH105 PL11_1			24	17	1	3, 5, 6, 10, 11, 14	6	0, 4, 15, 16, 17, 19, 20, 21, 22	9
Bacteroides ovatus VPIC145	#61541	Predicted PUL 75	HTCS GH2 CE20|CE6 CBM|CBM|CBM96 SusC SusD unk GH50 GH88|GH154 Sulf_1 GH43_28 Sulf_1|GH154 GH154 GH105			14	8, 11, 12	3	6	1	1, 7, 8, 10, 11, 12, 13	7
Bacteroides ovatus WH208	#53447	Predicted PUL 92	GH105 GH154 GH154|Sulf_1 GH43_28 Sulf_1 GH88|GH154 GH50 unk SusD SusC CBM|CBM|CBM96 CE20|CE6 GH2 HTCS			14	1, 2, 5	3	7	1	0, 1, 2, 3, 5, 6, 12	7
Bacteroides ovatus WH214	#53519	Predicted PUL 40	GH105 GH154 GH154|Sulf_1 GH43_28 Sulf_1 GH88|GH154 GH50 unk SusD SusC CBM|CBM|CBM96 CE20|CE6 GH2 HTCS			14	1, 2, 5	3	7	1	0, 1, 2, 3, 5, 6, 12	7
Bacteroides ovatus WH711	#54131	Predicted PUL 51	GH28 GH154 GH88 GH2 unk SusC SusD unk unk SusC SusD PL11_1 unk unk GH106 unk HTCS CE12|CE12 GH2			19	1	1	4, 7, 8, 12, 13, 15	6	0, 1, 2, 3, 14, 18	6
Bacteroides ovatus WH713	#54267	Predicted PUL 64	PL11_1 GH105 GH2 GH95 GH28 Est GH154 GH88 GH2 unk SusC SusD unk unk SusC SusD PL11_1 unk unk GH106 unk HTCS CE12|CE12 GH2			24	6	1	9, 12, 13, 17, 18, 20	6	1, 2, 3, 4, 6, 7, 8, 19, 23	9
Bacteroides propionicifaciens DSM 19291	#12403	Predicted PUL 2	unk unk unk unk unk unk GH88 GH43_10|CBM91 PL40 GH146 GH28 GH97 unk unk unk SusD SusC HTCS unk unk GH43_19|GH43_34 SusC SusD SusC SusD unk GH43_24|GH16_3 GH2 GH43_24 HTCS GH105 GH154 GH2 PL42 unk SusD SusC			37	31	1	0, 1, 2, 3, 4, 5, 12, 13, 14, 18, 19, 25, 34	13	6, 7, 9, 10, 11, 20, 26, 27, 28, 30, 31, 32	12
Bacteroides pyogenes DSM 20611	#11778	Predicted PUL 12	unk SusC SusC SusD GH154			5	4	1	0	1	4	1
Bacteroides pyogenes F0041	#14878	Predicted PUL 14	GH154 SusD SusC			3	0	1		0	0	1
Bacteroides salyersiae BFG-256	#55993	Predicted PUL 6	GH43_26 GH88 GH unk GH154 SusD SusC HTCS			8	4	1	3	1	0, 1, 2, 4	4
Bacteroides salyersiae BFG-256	#56026	Predicted PUL 39	ECF-σ Anti-σ SusC SusD GH105 GH76 PL32 PL32 GH154 GH105|CBM32			10	8	1		0	4, 5, 8, 9	4
Bacteroides salyersiae BFG-288	#55822	Predicted PUL 39	ECF-σ Anti-σ SusC SusD GH105 GH76 PL32 PL32 GH154 GH105|CBM32			10	8	1		0	4, 5, 8, 9	4
Bacteroides salyersiae CL02T12C01	#16246	Predicted PUL 42	ECF-σ Anti-σ SusC SusD GH105 GH76 PL32 PL|PL32 GH154 GH105|CBM32			10	8	1		0	4, 5, 8, 9	4
Bacteroides salyersiae CSP6	#75600	Predicted PUL 44	ECF-σ Anti-σ SusC SusD GH105 GH76 PL32 PL|PL32 GH154 GH105|CBM32			10	8	1		0	4, 5, 8, 9	4
Bacteroides salyersiae WAL 10018	#10741	Predicted PUL 35	HTCS SusC SusD GH154 unk GH GH88 GH43_26			8	3	1	4	1	3, 5, 6, 7	4
Bacteroides salyersiae WAL 10018	#10756	Predicted PUL 50	CBM32|GH105 GH154 PL|PL32 PL32 GH76 GH105 SusD SusC Anti-σ ECF-σ			10	1	1		0	0, 1, 4, 5	4
Bacteroides salyersiae WAL7960	#70856	Predicted PUL 50	GH105|CBM32 GH154 PL|PL32 PL32 GH76 GH105 SusD SusC Anti-σ ECF-σ			10	1	1		0	0, 1, 4, 5	4
Bacteroides salyersiae WAL9166	#70751	Predicted PUL 3	HTCS SusC SusD GH154 unk GH GH88 GH43_26			8	3	1	4	1	3, 5, 6, 7	4
Bacteroides salyersiae WAL9166	#70787	Predicted PUL 39	GH105|CBM32 GH154 PL|PL32 PL32 GH76 GH105 SusD SusC Anti-σ ECF-σ			10	1	1		0	0, 1, 4, 5	4
Bacteroides sp. 14(A)	#19624	Predicted PUL 71	GH10|CBM48|CE HTCS unk GH154 SusC SusD unk GH2			8	3	1	2, 6	2	0, 3, 7	3
Bacteroides sp. 14(A)	#19628	Predicted PUL 75	Anti-σ unk ECF-σ SusC SusD Pept_MA unk unk unk SusC SusD unk unk GH154 HTCS unk SusC SusD SusC SusD unk GH16_3 GH43_24|GH16_3 HTCS SusC SusD GH43_24 GH154 PL42 GH105 GH43_19|GH43_34 GH97|GH43_19 GH51_2 GH51_2 GH2 GH43_17			36	13, 27	2	1, 6, 7, 8, 11, 12, 15, 20	8	13, 21, 22, 26, 27, 29, 30, 31, 32, 33, 34, 35	12
Bacteroides sp. 1_1_14	#1805	Predicted PUL 53	GH35|CBM32 GH43_19 GH43_9|CBM91|GH43_19 GH51_2 unk GH31_4 HTCS unk GH97 GH43_34|CBM32 unk GH43_10|CBM91 GH97 unk GH127 GH43_34 unk GH154 HTCS unk SusC SusD unk GH16_3|GH43_24 unk GH43_24 PL42 GH105			28	17	1	4, 7, 10, 13, 16, 19, 22, 24	8	0, 1, 2, 3, 5, 8, 9, 11, 12, 14, 15, 17, 23, 25, 27	15
Bacteroides sp. 1_1_30	#2227	Predicted PUL 10	GH105 GH154 GH154|Sulf_1 CBM32 GH43_28 GH88|GH154 GH50 unk SusD SusC CBM|CBM|CBM96 CE20 GH2 HTCS			14	1, 2, 5	3	7	1	0, 1, 2, 4, 5, 6, 12	7
Bacteroides sp. 1_1_6	#1617	Predicted PUL 26	GH130_1 unk GH30_6 SusD SusC unk unk GH154			8	7	1	1, 5, 6	3	0, 2, 7	3
Bacteroides sp. 1_1_6	#1621	Predicted PUL 30	HTCS GH2 GH105 SusC SusD unk unk GH154 unk Sulf_1 GH88 GH43_26|GH106 GH146			13	7	1	5, 6, 8	3	1, 2, 7, 10, 11, 12	6
Bacteroides sp. 1_1_6	#1650	Predicted PUL 59	GH35|CBM32 GH43_19 GH43_9|CBM91|GH43_19 GH51_2 unk GH31_4 unk HTCS unk GH97 GH43_34|CBM32 unk GH43_10|CBM91 GH97 GH29 unk unk unk unk SusC SusD unk unk GH127 GH43_34 unk GH154 HTCS unk SusC SusD unk GH16_3|GH43_24 unk GH43_24 PL42 GH105			37	26	1	4, 6, 8, 11, 15, 16, 17, 18, 21, 22, 25, 28, 31, 33	14	0, 1, 2, 3, 5, 9, 10, 12, 13, 14, 23, 24, 26, 32, 34, 36	16
Bacteroides sp. 2_1_16	#3566	Predicted PUL 20	GH154 GH2 GH20 unk GH88 PL33_1 unk SusD SusC HTCS unk unk GH144 GH3 SusD SusC			16	0	1	3, 6, 10, 11	4	0, 1, 2, 4, 12, 13	6
Bacteroides sp. 2_1_22	#3466	Predicted PUL 6	GH105 PL42 GH43_24 GH154 GH16_3|GH43_24 GH16_3 unk SusD SusC SusD SusC HTCS unk GH97 GH51_2 GH43_19			16	3	1	6, 12	2	0, 2, 3, 4, 5, 13, 14, 15	8
Bacteroides sp. 2_1_22	#3499	Predicted PUL 39	GH105 GH154 GH154|Sulf_1 GH43_28 GH88|GH154 GH50 unk SusD SusC CBM|CBM|CBM96 CE20 GH2 HTCS			13	1, 2, 4	3	6	1	0, 1, 2, 3, 4, 5, 11	7
Bacteroides sp. 2_1_56FAA	#762	Predicted PUL 4	GH154 GH2 GH20 unk GH88 PL33_1 SusD SusC HTCS unk unk GH144 GH3 SusD SusC			15	0	1	3, 9, 10	3	0, 1, 2, 4, 11, 12	6
Bacteroides sp. 2_2_4	#2387	Predicted PUL 69	GH105 PL42 GH43_24 GH16_3|GH43_24 unk unk SusD SusC unk HTCS Pept_SC unk GH154 GH43_34 GH127 unk HTCS unk SusD SusC unk GH97 GH51_2 GH43_19 GH35|CBM32			25	12	1	4, 5, 8, 11, 15, 17, 20	7	0, 2, 3, 12, 13, 14, 21, 22, 23, 24	10
Bacteroides sp. 3_1_33FAA	#1575	Predicted PUL 58	SusC SusD GH43_17 GH43_24 GH43_9|CBM91|GH43_19 SusD SusC SusD SusC HTCS unk GH105|GH154 PL42			13	11	1	10	1	2, 3, 4, 11	4
Bacteroides sp. 3_1_40A	#1055	Predicted PUL 22	PL42 GH105|GH154 unk HTCS SusC SusD SusC SusD CBM GH16_3 GH43_24 GH43_17 SusD SusC			14	1	1	2	1	1, 9, 10, 11	4
Bacteroides sp. 3_2_5	#845	Predicted PUL 24	SusC SusD GH3 GH144 unk unk HTCS SusC SusD unk PL33_1 GH88 unk GH20 GH2 GH154			16	15	1	4, 5, 9, 12	4	2, 3, 11, 13, 14, 15	6
Bacteroides sp. 4_3_47FAA	#660	Predicted PUL 21	SusC SusD GH43_17 GH43_24 GH43_9|CBM91|GH43_19 SusD SusC SusC SusD SusC HTCS unk GH105|GH154 PL42			14	12	1	11	1	2, 3, 4, 12	4
Bacteroides sp. 9_1_42FAA	#573	Predicted PUL 45	GH140 GH43_18 unk HTCS GH43_24 GH154 GH88 SusD SusC PL26 GH2 GH106 GH154 GH88 GH2 GH43_10|CBM91 HTCS GH28 CBM67|GH78 GH35 SusD SusC Anti-σ ECF-σ			24	5, 12	2	2	1	0, 1, 4, 5, 6, 10, 11, 12, 13, 14, 15, 17, 18, 19	14
Bacteroides sp. 9_1_42FAA	#584	Predicted PUL 56	SusC SusD GH43_17 GH43_24 GH43_9|CBM91|GH43_19 SusD SusC SusD SusC HTCS unk GH105|GH154 PL42			13	11	1	10	1	2, 3, 4, 11	4
Bacteroides sp. AR20	#4608	Predicted PUL 29	GH146 GH43_26|GH106 GH88 Sulf_1 unk GH154 unk unk SusD SusC GH105 GH2 HTCS			13	5	1	4, 6, 7	3	0, 1, 2, 5, 10, 11	6
Bacteroides sp. AR20	#4613	Predicted PUL 34	GH154 unk SusC SusD GH30_6 unk GH130_1			7	0	1	1, 5	2	0, 4, 6	3
Bacteroides sp. AR20	#4634	Predicted PUL 55	GH35|CBM32 GH43_19 GH43_9|CBM91|GH43_19 GH51_2 GH31_4 HTCS GH97 GH43_34|CBM32 GH29 unk unk GH43_10|CBM91 GH97 unk GH127 GH43_34 unk GH154 HTCS unk unk SusC SusD unk GH16_3|GH43_24 GH43_24 PL42 GH105			28	17	1	9, 10, 13, 16, 19, 20, 23	7	0, 1, 2, 3, 4, 6, 7, 8, 11, 12, 14, 15, 17, 24, 25, 27	16
Bacteroides sp. BFG-257 BFG-257	#64486	Predicted PUL 2	HTCS GH43_17 GH2 GH51_2 GH51_2 GH97|GH43_19 GH43_19|GH43_34 GH105 PL42 GH154 GH43_24 SusD SusC unk GH128 unk HTCS unk GH43_24|GH16_3 GH16_3 CBM32 SusD SusC unk SusC unk HTCS GH154 unk unk unk Pept_MA SusD SusC SusC ECF-σ unk unk Anti-σ			39	9, 27	2	13, 15, 17, 23, 25, 28, 29, 30, 36, 37	10	1, 2, 3, 4, 5, 6, 7, 9, 10, 14, 18, 19, 27	13
Bacteroides sp. BFG-257 BFG-257	#64489	Predicted PUL 5	GH2 unk unk SusD SusC GH154 unk HTCS GH10|CBM48|CE			9	5	1	1, 2, 6	3	0, 5, 8	3
Bacteroides sp. D1	#1972	Predicted PUL 47	GH105 PL42 GH43_24 GH154 GH16|GH43_24 GH16_3 unk SusD SusD SusC HTCS GH97 GH51_2 GH43_19			14	3	1	6	1	0, 2, 3, 4, 5, 11, 12, 13	8
Bacteroides sp. D1	#1982	Predicted PUL 57	HTCS GH2 CE20 CBM|CBM|CBM96 SusC SusD unk GH50 GH154 GH43_28 Sulf_1 GH154 GH154 GH105			14	8, 11, 12	3	6	1	1, 7, 8, 9, 11, 12, 13	7
Bacteroides sp. D20	#3290	Predicted PUL 37	GH154 PL42 GH105 GH43_19|GH43_34 GH97 GH51_2 GH127 GH51_2 GH2 HTCS SusC SusD unk GH43_24 unk unk GH43_24|GH35|CBM32			17	0	1	12, 14, 15	3	0, 2, 3, 4, 5, 6, 7, 8, 13, 16	10
Bacteroides sp. D22	#1840	Predicted PUL 5	HTCS GH2 CE20 CBM|CBM|CBM96 SusC SusD unk GH50 GH88|GH154 Sulf_1 GH43_28 Sulf_1 GH154 GH154 GH105			15	8, 12, 13	3	6	1	1, 7, 8, 10, 12, 13, 14	7
Bacteroides sp. DH3716P	#73340	Predicted PUL 85	GH154 unk SusC SusD GH30_6 unk GH130_1 SusC			8	0	1	1, 5	2	0, 4, 6	3
Bacteroides sp. PHL 2737	#46817	Predicted PUL 13	GH154 GH2 GH20 unk GH88 PL33_1 unk SusD SusC HTCS unk unk GH144 GH3 SusD SusC			16	0	1	3, 6, 10, 11	4	0, 1, 2, 4, 12, 13	6
Bacteroides sp. UW	#55534	Predicted PUL 42	SusC SusD GH3 GH144 unk unk HTCS SusC SusD PL33_1 GH88 Sulf_1 GH20 GH2 GH154			15	14	1	4, 5	2	2, 3, 10, 12, 13, 14	6
Bacteroides sp. ZJ-18	#50284	Predicted PUL 12	GH154 GH2 GH20 unk GH88 PL33_1 SusD SusC HTCS unk unk GH144 GH3 SusD SusC			15	0	1	3, 9, 10	3	0, 1, 2, 4, 11, 12	6
Bacteroides stercorirosoris DSM 26884	#57088	Predicted PUL 31	GH43_24|GH35|CBM32 GH115 SusD SusC HTCS unk GH2 GH51_2 GH51_2 GH97|GH43_19 GH43_19|GH43_34 GH105 PL42 GH154 GH43_24|GH16_3 GH16_3 CBM32 SusD SusC SusD SusC unk HTCS GH154 unk unk unk Pept_MA SusD SusC SusC ECF-σ unk Anti-σ			34	13, 23	2	5, 21, 24, 25, 26, 32	6	0, 1, 6, 7, 8, 9, 10, 11, 13, 14, 15, 23	12
Bacteroides stercorirosoris DSM 26884	#57097	Predicted PUL 40	unk SusD SusC GH154 GH154 unk HTCS			7	3, 4	2	0, 5	2	3, 4	2
Bacteroides stercorirosoris DSM 26884	#57119	Predicted PUL 62	ECF-σ Anti-σ SusC SusD GH105 GH154 GH2|CBM			7	5	1		0	4, 5, 6	3
Bacteroides stercoris BFG-121	#56153	Predicted PUL 17	GH2 unk SusD SusC GH154 unk HTCS unk CE4			9	4	1	1, 5, 7	3	0, 4	2
Bacteroides stercoris CL09T03C01	#56914	Predicted PUL 32	GH105 GH154 GH154 Sulf_1 GH43_28 Sulf_1 GH88|GH154 GH2|CBM GH GH50 unk SusD SusC CBM|CBM|CBM96 CE20|CE6 unk GH2 HTCS unk SusD SusC SusR			22	1, 2, 6	3	10, 15, 18	3	0, 1, 2, 4, 6, 7, 8, 9, 16	9
Bacteroides thetaiotaomicron 7330	#21644	Predicted PUL 4	GH130_1 unk GH30_6 SusD SusC unk GH154			7	6	1	1, 5	2	0, 2, 6	3
Bacteroides thetaiotaomicron 7330	#21691	Predicted PUL 51	GH105 PL42 GH43_24 GH16_3|GH43_24 unk SusD SusC unk HTCS GH154 unk GH43_34 GH127 unk GH97 GH43_10|CBM91 GH43_34|CBM32 GH97 HTCS GH31_4 unk GH51_2 GH43_9|CBM91|GH43_19 GH43_19 GH35|CBM32			25	9	1	4, 7, 10, 13, 20	5	0, 2, 3, 9, 11, 12, 14, 15, 16, 17, 19, 21, 22, 23, 24	15
Bacteroides thetaiotaomicron 7330 (new assembly)	#28401	Predicted PUL 4	GH130_1 unk GH30_6 SusD SusC unk GH154	#28310	Lite 4	7	6	1	1, 5	2	0, 2, 6	3
Bacteroides thetaiotaomicron 7330 (new assembly)	#28469	Predicted PUL 72	GH105 PL42 GH43_24 GH16_3|GH43_24 unk SusD SusC unk HTCS GH154 unk GH43_34 GH127 unk GH97 GH43_10|CBM91 GH43_34|CBM32 GH97 HTCS GH31_4 unk GH51_2 GH43_9|CBM91|GH43_19 GH43_19 GH35|CBM32	#28382	Lite 76	25	9	1	4, 7, 10, 13, 20	5	0, 2, 3, 9, 11, 12, 14, 15, 16, 17, 19, 21, 22, 23, 24	15
Bacteroides thetaiotaomicron B2	#78974	Predicted PUL 13	GH105 PL42 GH43_24 GH16_3|GH43_24 unk SusD SusC unk unk unk HTCS GH154 unk GH43_34 GH127 unk GH97 GH43_10|CBM91 unk unk GH29 GH43_34|CBM32 GH97 HTCS GH31_4 unk GH51_2 GH43_9|CBM91|GH43_19 GH43_19 GH35|CBM32			30	11	1	4, 7, 8, 9, 12, 15, 18, 19, 25	9	0, 2, 3, 11, 13, 14, 16, 17, 20, 21, 22, 24, 26, 27, 28, 29	16
Bacteroides thetaiotaomicron BFG-109	#65664	Predicted PUL 11	GH105 PL42 GH43_24 GH16_3|GH43_24 unk SusD SusC unk unk unk HTCS GH154 unk GH43_34 GH127 unk unk SusD SusC unk unk unk GH29 GH97 GH43_10|CBM91 unk GH43_34|CBM32 GH97 HTCS GH31_4 unk GH51_2 GH43_9|CBM91|GH43_19 GH43_19 GH35|CBM32			35	11	1	4, 7, 8, 9, 12, 15, 16, 19, 20, 21, 25, 30	12	0, 2, 3, 11, 13, 14, 22, 23, 24, 26, 27, 29, 31, 32, 33, 34	16
Bacteroides thetaiotaomicron BFG-109	#65683	Predicted PUL 30	GH130_1 unk GH30_6 SusD SusC unk GH154			7	6	1	1, 5	2	0, 2, 6	3
Bacteroides thetaiotaomicron BFG-116 	#62942	Predicted PUL 15	GH146 GH43_26|GH106 GH88 Sulf_1 unk GH154 unk unk unk SusD SusC GH105 GH2			13	5	1	4, 6, 7, 8	4	0, 1, 2, 5, 11, 12	6
Bacteroides thetaiotaomicron BFG-116 	#62945	Predicted PUL 18	GH154 unk SusC SusD GH30_6 unk GH130_1			7	0	1	1, 5	2	0, 4, 6	3
Bacteroides thetaiotaomicron BFG-116 	#62966	Predicted PUL 39	GH35|CBM32 GH43_19 GH43_9|CBM91|GH43_19 GH51_2 GH31_4 HTCS GH97 GH43_34 GH43|CBM32 GH29 unk unk GH43_10|CBM91 GH97 unk GH127 GH43_34 unk GH154 HTCS unk unk unk unk SusC SusD unk GH16_3|GH43_24 GH43_24 PL42 GH105			31	18	1	10, 11, 14, 17, 20, 21, 22, 23, 26	9	0, 1, 2, 3, 4, 6, 7, 8, 9, 12, 13, 15, 16, 18, 27, 28, 30	17
Bacteroides thetaiotaomicron BFG-119	#70140	Predicted PUL 17	ECF-σ Anti-σ SusC unk SusD GH43_18 unk unk unk GH154 unk unk SusC SusD GH30_6 unk GH130_1			17	9	1	3, 6, 7, 8, 10, 11, 15	7	5, 9, 14, 16	4
Bacteroides thetaiotaomicron BFG-119	#70159	Predicted PUL 36	GH35|CBM32 GH43_19 GH43_9|CBM91|GH43_19 GH51_2 unk GH31_4 HTCS GH97 GH43_34|CBM32 GH29 unk unk GH43_10|CBM91 GH97 unk GH127 GH43_34 unk GH154 unk unk unk unk SusC SusD SusD unk GH16_3|GH43_24 GH43_24 PL42 GH105			31	18	1	4, 10, 11, 14, 17, 19, 20, 21, 22, 26	10	0, 1, 2, 3, 5, 7, 8, 9, 12, 13, 15, 16, 18, 27, 28, 30	16
Bacteroides thetaiotaomicron BFG-129	#65168	Predicted PUL 18	GH154 unk unk SusC SusD GH30_6 unk GH130_1			8	0	1	1, 2, 6	3	0, 5, 7	3
Bacteroides thetaiotaomicron BFG-129	#65191	Predicted PUL 41	GH35|CBM32 GH43_19 GH43_9|CBM91|GH43_19 GH51_2 GH31_4 HTCS GH97 GH43_34|CBM32 GH29 unk unk GH43_10|CBM91 GH97 unk GH127 GH43_34 unk GH154 HTCS unk SusC SusD unk GH16_3|GH43_24 GH43_24 PL42 GH105			27	17	1	9, 10, 13, 16, 19, 22	6	0, 1, 2, 3, 4, 6, 7, 8, 11, 12, 14, 15, 17, 23, 24, 26	16
Bacteroides thetaiotaomicron BFG-130	#69397	Predicted PUL 17	GH146 GH43_26|GH106 GH88 Sulf_1 unk GH154 unk unk SusD SusD SusC GH105 GH2			13	5	1	4, 6, 7	3	0, 1, 2, 5, 11, 12	6
Bacteroides thetaiotaomicron BFG-130	#69420	Predicted PUL 40	GH35|CBM32 GH43_19 GH43_9|CBM91|GH43_19 GH51_2 GH31_4 HTCS GH97 GH43_34|CBM32 GH43_10|CBM91 GH97 GH97 GH29 unk unk unk SusC SusD unk unk GH127 GH43_34 unk GH154 HTCS unk unk SusC SusD SusD unk GH16_3|GH43_24 GH43_24 PL42 GH105			34	22	1	12, 13, 14, 17, 18, 21, 24, 25, 29	9	0, 1, 2, 3, 4, 6, 7, 8, 9, 10, 11, 19, 20, 22, 30, 31, 33	17
Bacteroides thetaiotaomicron BFG-148	#66428	Predicted PUL 35	GH105 PL42 GH43_24 GH16_3|GH43_24 unk SusD SusC unk unk unk HTCS unk GH154 unk GH43_34 GH127 unk GH97 GH43_10|CBM91 unk unk GH29 GH43_34|CBM32 GH43_34 GH97 unk GH31_4 GH51_2 GH43_9|GH43_19 GH43_19 GH35|CBM32			31	12	1	4, 7, 8, 9, 11, 13, 16, 19, 20, 25	10	0, 2, 3, 12, 14, 15, 17, 18, 21, 22, 23, 24, 26, 27, 28, 29, 30	17
Bacteroides thetaiotaomicron BFG-169	#65514	Predicted PUL 17	GH154 unk unk SusC SusD GH30_6 unk GH130_1			8	0	1	1, 2, 6	3	0, 5, 7	3
Bacteroides thetaiotaomicron BFG-169	#65540	Predicted PUL 43	GH35|CBM32 GH43_19 GH43_9|CBM91|GH43_19 GH51_2 GH31_4 HTCS GH97 GH43_34|CBM32 GH29 unk unk GH43_10|CBM91 GH97 unk GH127 GH43_34 unk GH154 HTCS unk SusC SusD unk GH16_3|GH43_24 GH43_24 PL42 GH105			27	17	1	9, 10, 13, 16, 19, 22	6	0, 1, 2, 3, 4, 6, 7, 8, 11, 12, 14, 15, 17, 23, 24, 26	16
Bacteroides thetaiotaomicron BFG-264	#69709	Predicted PUL 12	GH105 PL42 GH43_24 GH16_3|GH43_24 unk SusD SusC unk HTCS GH154 unk GH43_34 GH127 unk unk SusD SusD SusC unk unk unk GH29 GH97 GH43_10|CBM91 GH43_34|CBM32 GH97 HTCS GH31_4 GH51_2 GH43_9|CBM91|GH43_19 GH43_19 GH35|CBM32			32	9	1	4, 7, 10, 13, 14, 18, 19, 20	8	0, 2, 3, 9, 11, 12, 21, 22, 23, 24, 25, 27, 28, 29, 30, 31	16
Bacteroides thetaiotaomicron BFG-264	#69729	Predicted PUL 32	GH130_1 unk GH30_6 SusD SusC unk GH154			7	6	1	1, 5	2	0, 2, 6	3
