Species	PUL ID	Name	Modularity	Overlap IDs	Overlap Names
Bacteroides thetaiotaomicron B2	#78974	Predicted PUL 13	GH105 PL42 GH43_24 GH16_3|GH43_24 unk SusD SusC unk unk unk HTCS GH154 unk GH43_34 GH127 unk GH97 GH43_10|CBM91 unk unk GH29 GH43_34|CBM32 GH97 HTCS GH31_4 unk GH51_2 GH43_9|CBM91|GH43_19 GH43_19 GH35|CBM32		
Bacteroides thetaiotaomicron BFG-109	#65664	Predicted PUL 11	GH105 PL42 GH43_24 GH16_3|GH43_24 unk SusD SusC unk unk unk HTCS GH154 unk GH43_34 GH127 unk unk SusD SusC unk unk unk GH29 GH97 GH43_10|CBM91 unk GH43_34|CBM32 GH97 HTCS GH31_4 unk GH51_2 GH43_9|CBM91|GH43_19 GH43_19 GH35|CBM32		
Bacteroides thetaiotaomicron BFG-109	#65683	Predicted PUL 30	GH130_1 unk GH30_6 SusD SusC unk GH154		
Bacteroides thetaiotaomicron BFG-116 	#62942	Predicted PUL 15	GH146 GH43_26|GH106 GH88 Sulf_1 unk GH154 unk unk unk SusD SusC GH105 GH2		
Bacteroides thetaiotaomicron BFG-116 	#62945	Predicted PUL 18	GH154 unk SusC SusD GH30_6 unk GH130_1		
Bacteroides thetaiotaomicron BFG-116 	#62966	Predicted PUL 39	GH35|CBM32 GH43_19 GH43_9|CBM91|GH43_19 GH51_2 GH31_4 HTCS GH97 GH43_34 GH43|CBM32 GH29 unk unk GH43_10|CBM91 GH97 unk GH127 GH43_34 unk GH154 HTCS unk unk unk unk SusC SusD unk GH16_3|GH43_24 GH43_24 PL42 GH105		
Bacteroides thetaiotaomicron BFG-119	#70140	Predicted PUL 17	ECF-σ Anti-σ SusC unk SusD GH43_18 unk unk unk GH154 unk unk SusC SusD GH30_6 unk GH130_1		
Bacteroides thetaiotaomicron BFG-119	#70159	Predicted PUL 36	GH35|CBM32 GH43_19 GH43_9|CBM91|GH43_19 GH51_2 unk GH31_4 HTCS GH97 GH43_34|CBM32 GH29 unk unk GH43_10|CBM91 GH97 unk GH127 GH43_34 unk GH154 unk unk unk unk SusC SusD SusD unk GH16_3|GH43_24 GH43_24 PL42 GH105		
Bacteroides thetaiotaomicron BFG-129	#65168	Predicted PUL 18	GH154 unk unk SusC SusD GH30_6 unk GH130_1		
Bacteroides thetaiotaomicron BFG-129	#65191	Predicted PUL 41	GH35|CBM32 GH43_19 GH43_9|CBM91|GH43_19 GH51_2 GH31_4 HTCS GH97 GH43_34|CBM32 GH29 unk unk GH43_10|CBM91 GH97 unk GH127 GH43_34 unk GH154 HTCS unk SusC SusD unk GH16_3|GH43_24 GH43_24 PL42 GH105		
Bacteroides thetaiotaomicron BFG-130	#69397	Predicted PUL 17	GH146 GH43_26|GH106 GH88 Sulf_1 unk GH154 unk unk SusD SusD SusC GH105 GH2		
Bacteroides thetaiotaomicron BFG-130	#69420	Predicted PUL 40	GH35|CBM32 GH43_19 GH43_9|CBM91|GH43_19 GH51_2 GH31_4 HTCS GH97 GH43_34|CBM32 GH43_10|CBM91 GH97 GH97 GH29 unk unk unk SusC SusD unk unk GH127 GH43_34 unk GH154 HTCS unk unk SusC SusD SusD unk GH16_3|GH43_24 GH43_24 PL42 GH105		
Bacteroides thetaiotaomicron BFG-148	#66428	Predicted PUL 35	GH105 PL42 GH43_24 GH16_3|GH43_24 unk SusD SusC unk unk unk HTCS unk GH154 unk GH43_34 GH127 unk GH97 GH43_10|CBM91 unk unk GH29 GH43_34|CBM32 GH43_34 GH97 unk GH31_4 GH51_2 GH43_9|GH43_19 GH43_19 GH35|CBM32		
Bacteroides thetaiotaomicron BFG-169	#65514	Predicted PUL 17	GH154 unk unk SusC SusD GH30_6 unk GH130_1		
Bacteroides thetaiotaomicron BFG-169	#65540	Predicted PUL 43	GH35|CBM32 GH43_19 GH43_9|CBM91|GH43_19 GH51_2 GH31_4 HTCS GH97 GH43_34|CBM32 GH29 unk unk GH43_10|CBM91 GH97 unk GH127 GH43_34 unk GH154 HTCS unk SusC SusD unk GH16_3|GH43_24 GH43_24 PL42 GH105		
Bacteroides thetaiotaomicron BFG-264	#69709	Predicted PUL 12	GH105 PL42 GH43_24 GH16_3|GH43_24 unk SusD SusC unk HTCS GH154 unk GH43_34 GH127 unk unk SusD SusD SusC unk unk unk GH29 GH97 GH43_10|CBM91 GH43_34|CBM32 GH97 HTCS GH31_4 GH51_2 GH43_9|CBM91|GH43_19 GH43_19 GH35|CBM32		
Bacteroides thetaiotaomicron BFG-264	#69729	Predicted PUL 32	GH130_1 unk GH30_6 SusD SusC unk GH154		
Bacteroides thetaiotaomicron BFG-264	#69733	Predicted PUL 36	HTCS GH2 GH105 SusC SusD unk unk GH154 unk Sulf_1 GH88 GH43_26|GH106 GH146		
Bacteroides thetaiotaomicron BFG-266 	#62857	Predicted PUL 20	GH154 unk SusC SusD GH30_6 unk GH130_1		
Bacteroides thetaiotaomicron BFG-266 	#62875	Predicted PUL 38	GH35|CBM32 GH43_19 GH43_9|CBM91 GH51_2 GH31_4 HTCS GH97 GH43_34 GH43_34|CBM32 GH43_10|CBM91 GH97 unk GH127 GH43_34 unk GH154 HTCS unk SusC SusD unk GH16_3 GH43_24 PL42 GH105		
Bacteroides thetaiotaomicron BFG-357 	#62634	Predicted PUL 10	unk unk unk GH106 GH43_26|GH106 GH43_26 GH88 Sulf_1 unk GH154 unk unk unk SusD SusD unk SusC unk SusC GH105 GH105 GH2		
Bacteroides thetaiotaomicron BFG-357 	#62637	Predicted PUL 13	GH154 unk SusC SusC SusC unk SusD unk GH30_6 GH30_6 unk unk		
Bacteroides thetaiotaomicron BFG-446	#64091	Predicted PUL 14	GH146 GH43_26|GH106 GH88 Sulf_1 unk GH154 unk unk unk SusD SusC GH105 GH105 unk HTCS		
Bacteroides thetaiotaomicron BFG-446	#64095	Predicted PUL 18	GH154 unk SusC SusD GH30_6 GH30_6 unk GH130_1		
Bacteroides thetaiotaomicron BFG-446	#64113	Predicted PUL 36	GH35|CBM32 GH43_19 GH43_9 GH51_2 GH31_4 HTCS GH97 GH43_34 unk GH43_10|CBM91 GH97 GH29 unk unk unk SusC SusD unk unk GH127 GH43_34 unk GH154 HTCS unk unk SusC SusD unk GH16_3|GH43_24 GH43_24 PL42 GH105		
Bacteroides thetaiotaomicron BFG-478	#69802	Predicted PUL 13	CBM SusD SusC GH43_31 unk HTCS GH43_31 GH182 GH43_3 GH159 unk unk SusD SusC unk unk unk GH116 unk unk unk GH146 GH43_26|GH106 GH88 Sulf_1 unk GH154 unk unk SusD SusC GH105 GH2 HTCS		
Bacteroides thetaiotaomicron BFG-478	#69806	Predicted PUL 17	GH154 unk SusC SusD GH30_6 GH30_6 unk GH130_1		
Bacteroides thetaiotaomicron BFG-478	#69822	Predicted PUL 33	GH35|CBM32 GH43_19 GH43_9|CBM91|GH43_19 GH51_2 unk unk GH31_4 HTCS GH97 GH43_34|CBM32 GH43_10|CBM91 GH97 GH29 unk unk unk SusC SusD SusD unk unk unk GH43_34 unk GH154 HTCS unk SusC SusD unk GH16_3|GH43_24 GH43_24 PL42 GH105		
Bacteroides thetaiotaomicron BFG-484	#65372	Predicted PUL 16	GH154 unk SusC SusD GH30_6 unk unk GH130_1		
Bacteroides thetaiotaomicron BFG-484	#65392	Predicted PUL 36	GH35|CBM32 GH43_19 GH43_9|CBM91|GH43_19 GH51_2 GH31_4 unk GH97 GH43_34 GH43_34|CBM32 unk GH43_10|CBM91 GH97 GH29 unk unk unk SusC SusD unk unk GH127 GH43_34 unk GH154 unk unk SusC SusD unk GH16_3|GH43_24 GH43_24 PL42 GH105		
Bacteroides thetaiotaomicron BFG-498	#66589	Predicted PUL 14	GH146 GH43_26|GH106 GH88 Sulf_1 unk GH154 unk unk SusD SusC GH105 GH105 GH2 HTCS		
Bacteroides thetaiotaomicron BFG-498	#66592	Predicted PUL 17	GH154 unk SusC SusD GH30_6 unk GH130_1		
Bacteroides thetaiotaomicron BFG-498	#66611	Predicted PUL 36	GH35|CBM32 GH43_19 GH43_9|CBM91|GH43_19 unk GH31_4 HTCS GH97 GH43_34 GH43_34|CBM32 GH29 unk unk GH43_10|CBM91 GH97 unk GH127 GH43_34 unk GH154 unk HTCS unk unk unk SusC SusD unk GH16_3|GH43_24 GH43_24 PL42 GH105		
Bacteroides thetaiotaomicron BFG-505 	#62761	Predicted PUL 52	unk SusC unk SusD unk unk unk GH154 unk Sulf_1 GH88 GH43_26 GH43_26|GH106		
Bacteroides thetaiotaomicron BFG-510	#66669	Predicted PUL 9	GH105 PL42 GH43_24 GH16_3|GH43_24 unk SusD SusC unk unk unk HTCS GH154 unk GH43_34 GH127 unk unk SusD SusC unk unk unk GH29 GH97 GH43_10|CBM91 unk GH43_34|CBM32 GH43_34 GH97 HTCS GH31_4 GH43|GH51_2 GH43_9|CBM91|GH43_19 GH43_19 GH35|CBM32		
Bacteroides thetaiotaomicron BFG-510	#66689	Predicted PUL 29	GH130_1 unk GH30_6 SusD SusC unk GH154		
Bacteroides thetaiotaomicron BFG-55	#55910	Predicted PUL 13	GH146 GH43_26|GH106 GH88 Sulf_1 unk GH154 unk unk SusD SusC GH105 GH2 HTCS		
Bacteroides thetaiotaomicron BFG-55	#55914	Predicted PUL 17	GH154 unk SusC SusD GH30_6 unk GH130_1		
Bacteroides thetaiotaomicron BFG-55	#55933	Predicted PUL 36	GH35|CBM32 GH43_19 GH43_9|CBM91|GH43_19 GH51_2 unk GH31_4 HTCS GH97 GH43_34|CBM32 GH43_10|CBM91 GH97 GH29 unk unk unk SusC SusD unk unk GH127 GH43_34 unk GH154 HTCS unk SusC SusD unk GH16_3|GH43_24 GH43_24 PL42 GH105		
Bacteroides thetaiotaomicron BFG-576	#67406	Predicted PUL 15	GH146 GH43_26|GH106 GH88 Sulf_1 unk GH154 unk unk SusD SusC GH105 GH2 HTCS		
Bacteroides thetaiotaomicron BFG-576	#67410	Predicted PUL 19	GH154 unk SusC SusD GH30_6 unk		
Bacteroides thetaiotaomicron BFG-576	#67430	Predicted PUL 39	GH35|CBM32 GH43_19 GH43_9|CBM91|GH43_19 GH51_2 GH31_4 unk GH97 GH43_34|CBM32 unk unk CBM91 GH97 GH29 unk unk unk SusC SusD unk unk GH127 GH43_34 unk GH154 unk unk SusC SusD unk GH16_3|GH43_24 GH43_24 PL42 GH105		
Bacteroides thetaiotaomicron CL06T03C18	#51136	Predicted PUL 5	GH35|CBM32 GH43_19 GH43_9|CBM91|GH43_19 GH51_2 GH31_4 HTCS GH97 GH43_34|CBM32 GH29 unk unk GH43_10|CBM91 GH97 unk GH127 GH43_34 unk GH154 HTCS unk SusC SusD unk GH16_3|GH43_24 GH43_24 PL42 GH105		
Bacteroides thetaiotaomicron CL06T03C18	#51193	Predicted PUL 62	GH154 unk unk SusC SusD GH30_6 unk GH130_1		
Bacteroides thetaiotaomicron CL11T00C24	#51269	Predicted PUL 52	GH35|CBM32 GH43_19 GH43_9|CBM91|GH43_19 GH51_2 GH31_4 HTCS GH97 GH43_34|CBM32 GH29 unk unk GH43_10|CBM91 GH97 unk GH127 GH43_34 unk GH154 HTCS unk unk SusC SusD unk GH16_3|GH43_24 GH43_24 PL42 GH105		
Bacteroides thetaiotaomicron CL15T119C52	#55175	Predicted PUL 33	GH105 PL42 GH43_24 GH16_3|GH43_24 unk SusD SusC unk unk HTCS unk GH154 unk GH43_34 GH127 unk GH97 GH43_10|CBM91 unk unk GH29 GH43_34|CBM32 GH97 HTCS GH31_4 GH43|GH51_2 GH43_9|CBM91|GH43_19 GH43_19 GH35|CBM32		
Bacteroides thetaiotaomicron CL15T119C52	#55195	Predicted PUL 53	GH130_1 unk GH30_6 SusD SusC unk unk GH154 unk unk unk GH43_18 SusD SusC Anti-σ ECF-σ		
Bacteroides thetaiotaomicron CL15T12C11	#55085	Predicted PUL 33	GH105 PL42 GH43_24 GH16_3|GH43_24 unk SusD SusC unk unk HTCS unk GH154 unk GH43_34 GH127 unk GH97 GH43_10|CBM91 unk unk GH29 GH43_34|CBM32 GH97 HTCS GH31_4 GH43|GH51_2 GH43_9|CBM91|GH43_19 GH43_19 GH35|CBM32		
Bacteroides thetaiotaomicron CL15T12C11	#55104	Predicted PUL 52	GH130_1 unk GH30_6 SusD SusC unk unk GH154 unk unk unk GH43_18 SusD SusC Anti-σ ECF-σ		
Bacteroides thetaiotaomicron DFI.6.40	#78658	Predicted PUL 9	GH105 PL42 GH43_24 GH16_3|GH43_24 unk SusD SusC unk unk HTCS GH154 unk GH43_34 GH127 unk GH97 GH43_10|CBM91 unk unk GH29 GH43_34|CBM32 GH97 HTCS GH31_4 GH43|GH51_2 GH43_9|CBM91|GH43_19 GH43_19 GH35|CBM32		
Bacteroides thetaiotaomicron DFI.6.40	#78678	Predicted PUL 29	GH130_1 unk GH30_6 SusD SusC unk unk GH154 unk unk unk GH43_18 SusD SusC Anti-σ ECF-σ		
Bacteroides thetaiotaomicron DSM 2079	#46142	Predicted PUL 15	GH146 GH43_26|GH106 GH88 Sulf_1 unk GH154 unk unk SusD SusC GH105 GH2 HTCS		
Bacteroides thetaiotaomicron DSM 2079	#46146	Predicted PUL 19	GH154 unk unk SusC SusD GH30_6 unk GH130_1		
Bacteroides thetaiotaomicron DSM 2079	#46166	Predicted PUL 39	GH35|CBM32 GH43_19 GH43_9|CBM91|GH43_19 GH51_2 unk GH31_4 HTCS GH97 GH43_34|CBM32 GH43_10|CBM91 GH97 GH29 unk unk unk unk SusC SusD unk unk GH127 GH43_34 unk GH154 HTCS unk SusC SusD unk GH16_3|GH43_24 unk GH43_24 PL42 GH105		
Bacteroides thetaiotaomicron F9-2	#43655	Predicted PUL 6	GH35|CBM32 GH43_19 GH43_9|CBM91|GH43_19 GH43|GH51_2 GH31_4 HTCS GH97 GH43_34|CBM32 GH29 unk unk GH43_10|CBM91 GH97 unk GH127 GH43_34 unk GH154 unk HTCS unk SusC SusD unk GH16_3|GH43_24 GH43_24 PL42 GH105		
Bacteroides thetaiotaomicron FDAARGOS_935	#47512	Predicted PUL 16	GH130_1 unk GH30_6 SusD SusC unk GH154		
Bacteroides thetaiotaomicron FDAARGOS_935	#47515	Predicted PUL 19	HTCS GH2 GH105 SusC SusD unk unk GH154 unk Sulf_1 GH88 GH43_26|GH106 GH146		
Bacteroides thetaiotaomicron FDAARGOS_935	#47573	Predicted PUL 77	GH105 PL42 GH43_24 GH16_3|GH43_24 unk unk SusD SusC unk HTCS GH154 unk GH43_34 GH127 unk unk SusD SusC unk unk unk GH29 GH97 GH43_10|CBM91 GH43_34|CBM32 GH97 HTCS GH31_4 GH51_2 GH43_9|CBM91|GH43_19 GH43_19 GH35|CBM32		
Bacteroides thetaiotaomicron H-2209	#76764	Predicted PUL 42	GH154 unk SusC SusD GH30_6 unk GH130_1		
Bacteroides thetaiotaomicron H-2209	#76784	Predicted PUL 62	GH35|CBM32 GH43_19 GH43_9|CBM91|GH43_19 GH51_2 GH31_4 HTCS GH97 GH43_34|CBM32 GH29 unk unk GH43_10|CBM91 GH97 unk GH127 GH43_34 GH43_12|CBM91 GH43_29|CBM6 GH43_19 GH154 unk HTCS unk unk SusC SusD unk GH16_3|GH43_24 GH43_24 PL42 GH105		
Bacteroides thetaiotaomicron H-2622	#76873	Predicted PUL 30	GH154 unk SusC SusD GH30_6 unk GH130_1		
Bacteroides thetaiotaomicron H-2622	#76890	Predicted PUL 47	GH35|CBM32 GH43_19 GH43_9|CBM91|GH43_19 GH51_2 GH31_4 HTCS GH97 GH43_34|CBM32 unk CBM91 GH97 unk SusC SusD unk unk unk GH43_34 unk GH154 HTCS unk unk SusC SusD unk GH16_3|GH43_24 GH43_24 PL42 GH105		
Bacteroides thetaiotaomicron KPPR-3	#4840	Predicted PUL 49	GH105 PL42 GH43_24 GH16_3|GH43_24 unk SusD SusC unk unk HTCS GH154 unk GH43_34 GH127 GH127 unk unk SusD SusC SusC unk unk unk GH29 GH97 GH43_10|CBM91 GH43_34|CBM32 GH97 HTCS GH31_4 GH51_2 GH43_9|CBM91|GH43_19 GH43_19 GH35|CBM32		
Bacteroides thetaiotaomicron KPPR-3	#4848	Predicted PUL 57	GH130_1 unk GH30_6 SusD SusC unk GH154		
Bacteroides thetaiotaomicron NLAE-zl-C523	#4993	Predicted PUL 14	HTCS GH2 GH105 SusC SusD unk unk GH154 unk Sulf_1 GH88 GH43_26|GH106 GH146		
Bacteroides thetaiotaomicron NLAE-zl-C523	#5011	Predicted PUL 32	GH154 unk SusC SusD GH30_6 unk GH130_1		
Bacteroides thetaiotaomicron NLAE-zl-C523	#5023	Predicted PUL 44	GH35|CBM32 GH43_19 GH43_9|CBM91|GH43_19 GH51_2 GH31_4 HTCS GH97 GH43_34|CBM32 unk unk GH43_10|CBM91 GH97 GH29 unk unk unk SusC SusD unk unk GH127 GH43_34 unk GH154 HTCS unk SusC SusD unk GH16_3|GH43_24 GH43_24 PL42 GH105		
Bacteroides thetaiotaomicron NLAE-zl-C579	#5084	Predicted PUL 12	GH130_1 unk GH30_6 SusD SusC unk GH154		
Bacteroides thetaiotaomicron NLAE-zl-C579	#5088	Predicted PUL 16	HTCS GH2 GH105 SusC SusD unk unk GH154 unk Sulf_1 GH88 GH43_26|GH106 GH146		
Bacteroides thetaiotaomicron NLAE-zl-C579	#5109	Predicted PUL 37	GH35|CBM32 GH43_19 GH43_9|CBM91|GH43_19 GH51_2 GH31_4 HTCS GH97 GH43_34|CBM32 unk unk GH43_10|CBM91 GH97 GH29 unk unk unk SusC SusD unk unk GH127 GH43_34 unk GH154 HTCS unk SusC SusD unk GH16_3|GH43_24 GH43_24 PL42 GH105		
Bacteroides thetaiotaomicron NLAE-zl-G288	#4899	Predicted PUL 19	GH146 GH43_26|GH106 GH88 Sulf_1 unk GH154 unk unk SusD SusC GH105 GH2 HTCS		
Bacteroides thetaiotaomicron NLAE-zl-G288	#4903	Predicted PUL 23	GH154 unk SusC SusD GH30_6 unk GH130_1		
Bacteroides thetaiotaomicron NLAE-zl-G288	#4911	Predicted PUL 31	GH35|CBM32 GH43_19 GH43_9|CBM91|GH43_19 GH51_2 GH31_4 HTCS GH97 GH43_34|CBM32 unk unk GH43_10|CBM91 GH97 GH29 unk unk unk SusC SusD unk unk GH127 GH43_34 unk GH154 HTCS unk SusC SusD unk GH16_3|GH43_24 GH43_24 PL42 GH105		
Bacteroides thetaiotaomicron NLAE-zl-H207	#13071	Predicted PUL 58	GH35|CBM32 GH43_19 GH43_9|CBM91|GH43_19 GH43|GH51_2 GH31_4 HTCS GH97 GH43_34|CBM32 GH43_10|CBM91 GH97 GH29 unk unk unk SusC SusC SusD unk unk GH127 GH127 GH43_34 unk GH154 HTCS unk unk unk unk SusC SusD unk GH16_3|GH43_24 GH43_24 PL42 GH105		
Bacteroides thetaiotaomicron NLAE-zl-H207	#13091	Predicted PUL 78	GH130_1 unk GH30_6 SusD SusC unk GH154		
Bacteroides thetaiotaomicron NLAE-zl-H207	#13094	Predicted PUL 81	HTCS GH2 GH105 SusC SusD unk unk GH154 unk Sulf_1 GH88 GH43_26|GH106 GH146		
Bacteroides thetaiotaomicron NLAE-zl-H463	#14198	Predicted PUL 1	GH35|CBM32 GH43_19 GH43_9|CBM91|GH43_19 GH51_2 GH31_4 HTCS GH97 GH43_34|CBM32 unk unk GH43_10|CBM91 GH97 GH29 unk unk unk SusC SusD unk unk GH127 GH43_34 unk GH154 HTCS unk SusC SusD unk GH16_3|GH43_24 GH43_24 PL42 GH105		
Bacteroides thetaiotaomicron NLAE-zl-H463	#14215	Predicted PUL 18	GH154 unk SusC SusD GH30_6 unk GH130_1		
Bacteroides thetaiotaomicron NLAE-zl-H463	#14216	Predicted PUL 19	AraC GH146 GH43_26|GH106 GH88 Sulf_1 unk GH154 unk unk SusD SusC GH105 GH2 HTCS		
Bacteroides thetaiotaomicron NLAE-zl-H492	#13272	Predicted PUL 3	GH130_1 unk GH30_6 SusD SusC unk GH154		
Bacteroides thetaiotaomicron NLAE-zl-H492	#13305	Predicted PUL 36	HTCS GH2 GH105 SusC SusD unk unk GH154 unk Sulf_1 GH88 GH43_26|GH106 GH146 AraC		
Bacteroides thetaiotaomicron NLAE-zl-H492	#13332	Predicted PUL 63	GH35|CBM32 GH43_19 GH43_9|CBM91|GH43_19 GH51_2 GH31_4 HTCS GH97 GH43_34|CBM32 unk unk GH43_10|CBM91 GH97 GH29 unk unk unk SusC SusD unk unk GH127 GH43_34 unk GH154 HTCS unk SusC SusD unk GH16_3|GH43_24 GH43_24 PL42 GH105		
Bacteroides thetaiotaomicron NLAE-zl-P32	#13910	Predicted PUL 8	GH105 PL42 GH43_24 GH16_3|GH43_24 unk SusD SusC unk unk unk unk HTCS GH154 unk GH43_34 GH127 unk unk SusD SusC unk unk unk GH29 GH97 GH43_10|CBM91 unk unk GH43_34|CBM32 GH97 HTCS GH31_4 GH43|GH51_2 GH43_9|CBM91|GH43_19 GH43_19 GH35|CBM32		
Bacteroides thetaiotaomicron NLAE-zl-P32	#13954	Predicted PUL 52	GH130_1 unk GH30_6 SusD SusC unk GH154		
Bacteroides thetaiotaomicron NLAE-zl-P699	#13997	Predicted PUL 9	GH154 unk SusC SusD GH30_6 unk GH130_1		
Bacteroides thetaiotaomicron NLAE-zl-P699	#14026	Predicted PUL 38	GH35|CBM32 GH43_19 GH43_9|CBM91|GH43_19 GH43|GH51_2 GH31_4 HTCS GH97 GH43_34|CBM32 unk unk GH43_10|CBM91 GH97 GH29 unk unk unk SusC SusD unk unk GH127 GH43_34 unk GH154 HTCS unk unk unk unk SusC SusD unk GH16_3|GH43_24 GH43_24 PL42 GH105		
Bacteroides thetaiotaomicron TSDC17.2	#27552	Predicted PUL 9	GH105 PL42 GH43_24 GH16_3|GH43_24 unk SusD SusC unk HTCS GH154 unk GH43_34 GH127 unk unk SusD SusC unk unk unk GH29 GH97 GH43_10|CBM91 unk unk GH43_34|CBM32 GH97 HTCS GH31_4 GH51_2 GH43_9|CBM91|GH43_19 GH43_19 GH35|CBM32		
Bacteroides thetaiotaomicron TSDC17.2	#27590	Predicted PUL 47	GH154 unk SusC SusD GH30_6 unk GH130_1		
Bacteroides thetaiotaomicron TSDC17.2	#27627	Predicted PUL 84	GH146 GH43_26|GH106 GH88 Sulf_1 unk GH154 unk unk SusD SusC GH105 GH2 HTCS		
Bacteroides thetaiotaomicron VIII-271G	#21803	Predicted PUL 4	GH130_1 unk GH30_6 SusD SusC unk unk GH154 unk unk unk GH43_18 SusD SusC Anti-σ ECF-σ		
Bacteroides thetaiotaomicron VIII-271G	#21814	Predicted PUL 15	GH105 PL42 GH43_24 GH16_3|GH43_24 unk SusD SusC unk unk unk unk HTCS GH154 unk GH43_34 GH127 unk unk SusD SusC unk unk unk GH29 GH97 GH43_10|CBM91 unk unk GH43_34|CBM32 GH97 HTCS GH31_4 GH51_2 GH43_9|CBM91|GH43_19 GH43_19 GH35|CBM32		
Bacteroides thetaiotaomicron VPI-2808B	#71904	Predicted PUL 57	GH146 GH43_26|GH106 GH88 Sulf_1 unk GH154 unk unk SusD SusC GH105 GH2 HTCS		
Bacteroides thetaiotaomicron VPI-2808B	#71908	Predicted PUL 61	GH154 unk SusC SusD GH30_6 unk GH130_1		
Bacteroides thetaiotaomicron VPI-2808B	#71920	Predicted PUL 73	GH35|CBM32 GH43_19 GH43_9|CBM91|GH43_19 GH51_2 GH31_4 HTCS GH97 GH43_34|CBM32 unk GH43_10|CBM91 GH97 GH29 unk unk unk SusC SusD unk unk GH127 GH43_34 unk GH154 HTCS unk SusC SusD unk GH16_3|GH43_24 GH43_24 PL42 GH105		
Bacteroides thetaiotaomicron VPI-3164	#71775	Predicted PUL 27	GH105 PL42 GH43_24 GH16_3|GH43_24 unk SusD SusC unk unk HTCS GH154 unk GH43_34 GH127 unk unk SusD SusC unk unk unk GH29 GH97 GH43_10|CBM91 GH43_34|CBM32 GH97 HTCS GH31_4		
Bacteroides thetaiotaomicron VPI-3164	#71807	Predicted PUL 59	GH130_1 unk GH30_6 SusD SusC unk GH154		
Bacteroides thetaiotaomicron VPI-3164	#71811	Predicted PUL 63	HTCS GH2 GH105 SusC SusD unk unk GH154 unk Sulf_1 GH88 GH43_26|GH106 GH146		
Bacteroides thetaiotaomicron VPI-3443	#71674	Predicted PUL 18	GH154 unk SusC SusD GH30_6 unk GH130_1		
Bacteroides thetaiotaomicron VPI-3443	#71714	Predicted PUL 58	GH105 PL42 GH43_24 GH16_3|GH43_24 unk SusD SusC unk unk HTCS GH154 unk GH43_34 GH127 unk unk SusD SusC unk unk unk GH29 GH97 GH43_10|CBM91 GH43_34|CBM32 GH97 HTCS GH31_4 GH51_2 GH43_9|CBM91|GH43_19 GH43_19 GH35|CBM32		
Bacteroides thetaiotaomicron VPI-5482	#27963	Predicted PUL 39	GH146 GH43_26|GH106 GH88 Sulf_1 unk GH154 unk unk SusD SusC GH105 GH2 HTCS	#27870	Lite 42
Bacteroides thetaiotaomicron VPI-5482	#27967	Predicted PUL 43	GH154 unk unk SusC SusD GH30_6 unk GH130_1	#27874	Lite 46
Bacteroides thetaiotaomicron VPI-5482	#27987	Predicted PUL 63	GH35|CBM32 GH43_19 GH43_9|CBM91|GH43_19 GH51_2 unk GH31_4 HTCS GH97 GH43_34|CBM32 GH43_10|CBM91 GH97 GH29 unk unk unk unk SusC SusD unk unk GH127 GH43_34 unk GH154 HTCS unk SusC SusD unk GH16_3|GH43_24 unk GH43_24 PL42 GH105	#27892, #27893, #27921	Lite 64, Lite 65, Lite 93
Bacteroides thetaiotaomicron VPI-5482A	#71583	Predicted PUL 21	GH105 PL42 GH43_24 GH16_3|GH43_24 unk SusD SusC unk HTCS GH154 unk GH43_34 GH127 unk unk SusD SusC unk unk unk GH29 GH97 GH43_10|CBM91 unk GH43_34|CBM32 GH97 HTCS GH31_4 GH51_2 GH43_9|CBM91|GH43_19 GH43_19 GH35|CBM32		
Bacteroides thetaiotaomicron VPI-5482A	#71639	Predicted PUL 77	GH130_1 unk GH30_6 SusD SusC unk GH154		
Bacteroides thetaiotaomicron VPI-5482A	#71643	Predicted PUL 81	HTCS GH2 GH105 SusC SusD unk unk GH154 unk Sulf_1 GH88 GH43_26|GH106 GH146		
Bacteroides thetaiotaomicron VPI-BT7853	#71481	Predicted PUL 18	GH105 PL42 GH43_24 GH16_3|GH43_24 unk SusD SusC unk HTCS GH154 unk GH43_34 GH127 unk unk SusD SusC unk unk unk GH29 GH97 GH43_10|CBM91 unk GH43_34|CBM32 GH97 HTCS GH31_4		
Bacteroides thetaiotaomicron VPI-BT8702	#71428	Predicted PUL 66	GH35|CBM32 GH43_19 GH43_9|CBM91|GH43_19 GH51_2 GH31_4 HTCS GH97 GH43_34|CBM32 GH43_10|CBM91 GH97 GH29 unk unk unk SusC SusD unk unk GH127 GH43_34 unk GH154 HTCS unk unk unk SusC SusD unk GH16_3|GH43_24 GH43_24 PL42 GH105		
Bacteroides thetaiotaomicron VPI-BT8702	#71435	Predicted PUL 73	SusD SusC unk GH154		
Bacteroides thetaiotaomicron VPI-BT8702	#71439	Predicted PUL 77	HTCS GH2 GH105 SusC SusD unk unk GH154 unk Sulf_1 GH88 GH43_26|GH106 GH146		
Bacteroides thetaiotaomicron VPI-BTDOT2	#71294	Predicted PUL 27	GH154 unk unk SusC SusD GH30_6 unk GH130_1		
Bacteroides thetaiotaomicron VPI-BTDOT2	#71319	Predicted PUL 52	GH105 PL42 GH43_24 GH16_3|GH43_24 unk SusD SusC unk unk HTCS GH154 unk GH43_34 GH127 unk GH97 GH43_10|CBM91 unk unk GH29 GH43_34|CBM32 GH97 HTCS GH31_4 GH51_2 GH43_9|CBM91|GH43_19 GH43_19 GH35|CBM32		
